method,category,defect_type,count,mean,std,min,25%,50%,75%,max
DINOv2 PatchMemory,screw_bag,good,122.0,0.030676780642292366,0.0026439706104820476,0.0252156858219577,0.028925954870787828,0.03022363952782545,0.032322091194245506,0.042023484581438
DINOv2 PatchMemory,screw_bag,logical_anomalies,137.0,0.0315361179530989,0.003089922056015071,0.0234179679193544,0.0295336417792197,0.0312531625130853,0.0333895970316152,0.0386233272800225
DINOv2 PatchMemory,screw_bag,structural_anomalies,82.0,0.03298184965387929,0.004095902216760467,0.0267383608687407,0.0303761733368139,0.0323993161862348,0.03467102959770438,0.0502975600205721
DINOv2 PatchMemory,splicing_connectors,good,119.0,0.033437106633942976,0.002748649004513947,0.0269966069745484,0.03152354410310455,0.0334579372034554,0.03528122420546015,0.0417420068683794
DINOv2 PatchMemory,splicing_connectors,logical_anomalies,108.0,0.032696863086515114,0.005618370058943292,0.0054001818158415,0.030175983371079674,0.0328809219456842,0.03518954632489937,0.0510061812776302
DINOv2 PatchMemory,splicing_connectors,structural_anomalies,85.0,0.03717929779385502,0.006543422844085341,0.0291409800848175,0.0324574882914369,0.0356539881645344,0.0397178407392566,0.0672344452015516
EfficientAD,breakfast_box,good,102.0,1.0736835265860838,0.24301095802827305,0.5154963731765747,0.8627889305353165,1.0832711458206177,1.240930497646332,1.7227215766906738
EfficientAD,breakfast_box,logical_anomalies,83.0,3.0140574330306915,2.716382907249525,0.7411148548126221,1.3179349899291992,1.8724467754364007,3.4939887523651123,12.199374198913574
EfficientAD,breakfast_box,structural_anomalies,90.0,1.2584847119119433,0.4197636732034185,0.5989863276481628,0.9998394846916198,1.1819950342178345,1.480328768491745,2.679439783096313
EfficientAD,juice_bottle,good,94.0,0.9963383471712153,0.1406350655007714,0.7141755819320679,0.873590961098671,0.9963726103305817,1.1192801594734192,1.2381421327590942
EfficientAD,juice_bottle,logical_anomalies,142.0,1.274161333349389,0.4488611543928597,0.7515805959701538,0.9681827276945115,1.1585922241210938,1.362945854663849,2.739891767501831
EfficientAD,juice_bottle,structural_anomalies,94.0,1.0759242278464296,0.3390165022230156,0.7055816054344177,0.9166972488164902,1.0322301387786865,1.1549822986125944,3.1428768634796143
EfficientAD,pushpins,good,138.0,1.8104496835798458,0.6034022209964816,0.7024978399276733,1.2383903563022614,1.9929265975952148,2.236920833587647,3.32598876953125
EfficientAD,pushpins,logical_anomalies,91.0,2.4921561898765985,1.7070718355310057,1.1215322017669678,1.504731059074402,1.8847283124923704,2.4387630224227905,7.639677047729492
